datetime,cli_args,output_folder
2026-01-18 12:53:24,--SEED=2,__data__/run_0041
2026-01-18 12:54:52,--SEED=2,__data__/run_0029
2026-01-18 13:06:08,--SEED=2,__data__/run_0032
2026-01-18 13:46:17,--RUN_NAME=test --POPULATION_SIZE=10 --NUM_GENERATIONS=10,__data__/test_0001
2026-01-18 13:49:32,--RUN_NAME=test --FITNESS_SPEED=False --POPULATION_SIZE=10 --NUM_GENERATIONS=10,__data__/test_0002
2026-01-18 13:50:14,--RUN_NAME=test --FITNESS_SPEED=False --POPULATION_SIZE=1 --NUM_GENERATIONS=1 --STORE_SPEED=True,__data__/test_0003
2026-01-18 13:52:42,--RUN_NAME=test --FITNESS_SPEED=False --POPULATION_SIZE=1 --NUM_GENERATIONS=1 --STORE_SPEED=True,__data__/test_0004
2026-01-18 13:53:27,--RUN_NAME=test --FITNESS_SPEED=False --POPULATION_SIZE=10 --NUM_GENERATIONS=10 --STORE_SPEED=True,__data__/test_0005
2026-01-18 13:54:19,--RUN_NAME=test --FITNESS_SPEED=False --POPULATION_SIZE=10 --NUM_GENERATIONS=10 --STORE_SPEED=True,__data__/test_0006
2026-01-18 13:54:56,--RUN_NAME=test --FITNESS_SPEED=False --POPULATION_SIZE=10 --NUM_GENERATIONS=10 --STORE_SPEED=True,__data__/test_0007
2026-01-18 13:55:46,--RUN_NAME=test --FITNESS_SPEED=False --POPULATION_SIZE=10 --NUM_GENERATIONS=10 --STORE_SPEED=True,__data__/test_0008
2026-01-18 13:57:16,--RUN_NAME=test --FITNESS_SPEED=False --POPULATION_SIZE=10 --NUM_GENERATIONS=10 --STORE_SPEED=True,__data__/test_0009
2026-01-18 13:57:45,--RUN_NAME=test --FITNESS_SPEED=False --POPULATION_SIZE=10 --NUM_GENERATIONS=10 --STORE_SPEED=True,__data__/test_0010
2026-01-18 14:04:34,--RUN_NAME=test --FITNESS_SPEED=False --POPULATION_SIZE=1 --NUM_GENERATIONS=1 --STORE_SPEED=True,__data__/test_0011
2026-01-18 14:08:12,--RUN_NAME=test --FITNESS_SPEED=False --POPULATION_SIZE=1 --NUM_GENERATIONS=1 --STORE_SPEED=True,__data__/test_0012
2026-01-18 14:29:38,--RUN_NAME=test --FITNESS_SPEED=False --POPULATION_SIZE=100 --NUM_GENERATIONS=100 --STORE_SPEED=True,__data__/test_0013
2026-01-18 14:30:38,--RUN_NAME=test --FITNESS_SPEED=False --POPULATION_SIZE=100 --NUM_GENERATIONS=100,__data__/test_0014
2026-01-18 14:51:14,--RUN_NAME=test --FITNESS_SPEED=False --POPULATION_SIZE=30 --NUM_GENERATIONS=10,__data__/test_0015
2026-01-18 15:11:47,--RUN_NAME=test --FITNESS_SPEED=False --POPULATION_SIZE=300 --NUM_GENERATIONS=100,__data__/test_0016
2026-01-18 15:40:43,--RUN_NAME=test --FITNESS_SPEED=False --POPULATION_SIZE=100 --NUM_GENERATIONS=100,__data__/test_0017
2026-01-18 15:45:56,--RUN_NAME=test --FITNESS_SPEED=False --POPULATION_SIZE=50 --NUM_GENERATIONS=50,__data__/test_0018
2026-01-18 15:46:13,--RUN_NAME=test --FITNESS_SPEED=False --POPULATION_SIZE=50 --NUM_GENERATIONS=50,__data__/test_0019
2026-01-18 15:48:14,--RUN_NAME=test --FITNESS_SPEED=False --POPULATION_SIZE=300 --NUM_GENERATIONS=100,__data__/test_0020
2026-01-18 15:59:53,--RUN_NAME=tour_and_archive --FITNESS_SPEED=False --POPULATION_SIZE=100 --NUM_GENERATIONS=100,__data__/tour_and_archive_0001
2026-01-18 16:03:31,--RUN_NAME=tour_and_archive --FITNESS_SPEED=False --POPULATION_SIZE=100 --NUM_GENERATIONS=100,__data__/tour_and_archive_0002
2026-01-18 16:11:33,--RUN_NAME=tour_and_archive --FITNESS_SPEED=False --POPULATION_SIZE=10 --NUM_GENERATIONS=10,__data__/tour_and_archive_0003
2026-01-18 16:12:00,--RUN_NAME=tour_and_archive --FITNESS_SPEED=False --POPULATION_SIZE=10 --NUM_GENERATIONS=10 --NO_TOURNAMENT=False,__data__/tour_and_archive_0004
2026-01-18 16:14:17,--RUN_NAME=tour_and_archive --FITNESS_SPEED=False --POPULATION_SIZE=10 --NUM_GENERATIONS=10 --TOURNAMENT=False,__data__/tour_and_archive_0005
2026-01-19 13:03:58,,test
2026-01-19 13:15:36,,test
2026-01-19 13:17:28,,test
